GNP.deflator,GNP,Unemployed,Armed.Forces,Population,Employed
83,234.289,235.6,159,107.608,60.323
88.5,259.426,232.5,145.6,108.632,61.122
88.2,258.054,368.2,161.6,109.773,60.171
89.5,284.599,335.1,165,110.929,61.187
96.2,328.975,209.9,309.9,112.075,63.221
98.1,346.999,193.2,359.4,113.27,63.639
99,365.385,187,354.7,115.094,64.989
100,363.112,357.8,335,116.219,63.761
101.2,397.469,290.4,304.8,117.388,66.019
104.6,419.18,282.2,285.7,118.734,67.857
108.4,442.769,293.6,279.8,120.445,68.169
110.8,444.546,468.1,263.7,121.95,66.513
112.6,482.704,381.3,255.2,123.366,68.655
114.2,502.601,393.1,251.4,125.368,69.564
115.7,518.173,480.6,257.2,127.852,69.331
116.9,554.894,400.7,282.7,130.081,70.551
120.7775,564.31515,430.82,312.51,129.768025,71.40735
123.0241176,585.0935868,443.9363235,318.6089706,131.2202632,72.12386176
125.2707353,605.8720235,457.0526471,324.7079412,132.6725015,72.84037353
127.5173529,626.6504603,470.1689706,330.8069118,134.1247397,73.55688529
129.7639706,647.4288971,483.2852941,336.9058824,135.5769779,74.27339706
132.0105882,668.2073338,496.4016176,343.0048529,137.0292162,74.98990882
134.2572059,688.9857706,509.5179412,349.1038235,138.4814544,75.70642059
136.5038235,709.7642074,522.6342647,355.2027941,139.9336926,76.42293235
138.7504412,730.5426441,535.7505882,361.3017647,141.3859309,77.13944412
140.9970588,751.3210809,548.8669118,367.4007353,142.8381691,77.85595588
143.2436765,772.0995176,561.9832353,373.4997059,144.2904074,78.57246765
145.4902941,792.8779544,575.0995588,379.5986765,145.7426456,79.28897941
147.7369118,813.6563912,588.2158824,385.6976471,147.1948838,80.00549118
149.9835294,834.4348279,601.3322059,391.7966176,148.6471221,80.72200294
152.2301471,855.2132647,614.4485294,397.8955882,150.0993603,81.43851471
154.4767647,875.9917015,627.5648529,403.9945588,151.5515985,82.15502647
156.7233824,896.7701382,640.6811765,410.0935294,153.0038368,82.87153824
158.97,917.548575,653.7975,416.1925,154.456075,83.58805
161.2166176,938.3270118,666.9138235,422.2914706,155.9083132,84.30456176
163.4632353,959.1054485,680.0301471,428.3904412,157.3605515,85.02107353
165.7098529,979.8838853,693.1464706,434.4894118,158.8127897,85.73758529
167.9564706,1000.662322,706.2627941,440.5883824,160.2650279,86.45409706
170.2030882,1021.440759,719.3791176,446.6873529,161.7172662,87.17060882
172.4497059,1042.219196,732.4954412,452.7863235,163.1695044,87.88712059
174.6963235,1062.997632,745.6117647,458.8852941,164.6217426,88.60363235
176.9429412,1083.776069,758.7280882,464.9842647,166.0739809,89.32014412
179.1895588,1104.554506,771.8444118,471.0832353,167.5262191,90.03665588
181.4361765,1125.332943,784.9607353,477.1822059,168.9784574,90.75316765
183.6827941,1146.111379,798.0770588,483.2811765,170.4306956,91.46967941
185.9294118,1166.889816,811.1933824,489.3801471,171.8829338,92.18619118
188.1760294,1187.668253,824.3097059,495.4791176,173.3351721,92.90270294
190.4226471,1208.44669,837.4260294,501.5780882,174.7874103,93.61921471
192.6692647,1229.225126,850.5423529,507.6770588,176.2396485,94.33572647
194.9158824,1250.003563,863.6586765,513.7760294,177.6918868,95.05223824
197.1625,1270.782,876.775,519.875,179.144125,95.76875
199.4091176,1291.560437,889.8913235,525.9739706,180.5963632,96.48526176
201.6557353,1312.338874,903.0076471,532.0729412,182.0486015,97.20177353
203.9023529,1333.11731,916.1239706,538.1719118,183.5008397,97.91828529
206.1489706,1353.895747,929.2402941,544.2708824,184.9530779,98.63479706
208.3955882,1374.674184,942.3566176,550.3698529,186.4053162,99.35130882
210.6422059,1395.452621,955.4729412,556.4688235,187.8575544,100.0678206
212.8888235,1416.231057,968.5892647,562.5677941,189.3097926,100.7843324
215.1354412,1437.009494,981.7055882,568.6667647,190.7620309,101.5008441
217.3820588,1457.787931,994.8219118,574.7657353,192.2142691,102.2173559
219.6286765,1478.566368,1007.938235,580.8647059,193.6665074,102.9338676
221.8752941,1499.344804,1021.054559,586.9636765,195.1187456,103.6503794
224.1219118,1520.123241,1034.170882,593.0626471,196.5709838,104.3668912
226.3685294,1540.901678,1047.287206,599.1616176,198.0232221,105.0834029
228.6151471,1561.680115,1060.403529,605.2605882,199.4754603,105.7999147
230.8617647,1582.458551,1073.519853,611.3595588,200.9276985,106.5164265
233.1083824,1603.236988,1086.636176,617.4585294,202.3799368,107.2329382
235.355,1624.015425,1099.7525,623.5575,203.832175,107.94945
237.6016176,1644.793862,1112.868824,629.6564706,205.2844132,108.6659618
239.8482353,1665.572299,1125.985147,635.7554412,206.7366515,109.3824735
242.0948529,1686.350735,1139.101471,641.8544118,208.1888897,110.0989853
244.3414706,1707.129172,1152.217794,647.9533824,209.6411279,110.8154971
246.5880882,1727.907609,1165.334118,654.0523529,211.0933662,111.5320088
248.8347059,1748.686046,1178.450441,660.1513235,212.5456044,112.2485206
251.0813235,1769.464482,1191.566765,666.2502941,213.9978426,112.9650324
253.3279412,1790.242919,1204.683088,672.3492647,215.4500809,113.6815441
255.5745588,1811.021356,1217.799412,678.4482353,216.9023191,114.3980559
257.8211765,1831.799793,1230.915735,684.5472059,218.3545574,115.1145676
260.0677941,1852.578229,1244.032059,690.6461765,219.8067956,115.8310794
262.3144118,1873.356666,1257.148382,696.7451471,221.2590338,116.5475912
264.5610294,1894.135103,1270.264706,702.8441176,222.7112721,117.2641029
266.8076471,1914.91354,1283.381029,708.9430882,224.1635103,117.9806147
269.0542647,1935.691976,1296.497353,715.0420588,225.6157485,118.6971265
271.3008824,1956.470413,1309.613676,721.1410294,227.0679868,119.4136382
273.5475,1977.24885,1322.73,727.24,228.520225,120.13015
275.7941176,1998.027287,1335.846324,733.3389706,229.9724632,120.8466618
278.0407353,2018.805724,1348.962647,739.4379412,231.4247015,121.5631735
280.2873529,2039.58416,1362.078971,745.5369118,232.8769397,122.2796853
282.5339706,2060.362597,1375.195294,751.6358824,234.3291779,122.9961971
284.7805882,2081.141034,1388.311618,757.7348529,235.7814162,123.7127088
287.0272059,2101.919471,1401.427941,763.8338235,237.2336544,124.4292206
289.2738235,2122.697907,1414.544265,769.9327941,238.6858926,125.1457324
291.5204412,2143.476344,1427.660588,776.0317647,240.1381309,125.8622441
293.7670588,2164.254781,1440.776912,782.1307353,241.5903691,126.5787559
296.0136765,2185.033218,1453.893235,788.2297059,243.0426074,127.2952676
298.2602941,2205.811654,1467.009559,794.3286765,244.4948456,128.0117794
300.5069118,2226.590091,1480.125882,800.4276471,245.9470838,128.7282912
302.7535294,2247.368528,1493.242206,806.5266176,247.3993221,129.4448029
305.0001471,2268.146965,1506.358529,812.6255882,248.8515603,130.1613147
307.2467647,2288.925401,1519.474853,818.7245588,250.3037985,130.8778265
309.4933824,2309.703838,1532.591176,824.8235294,251.7560368,131.5943382
311.74,2330.482275,1545.7075,830.9225,253.208275,132.31085
313.9866176,2351.260712,1558.823824,837.0214706,254.6605132,133.0273618
316.2332353,2372.039149,1571.940147,843.1204412,256.1127515,133.7438735
318.4798529,2392.817585,1585.056471,849.2194118,257.5649897,134.4603853
320.7264706,2413.596022,1598.172794,855.3183824,259.0172279,135.1768971
322.9730882,2434.374459,1611.289118,861.4173529,260.4694662,135.8934088
325.2197059,2455.152896,1624.405441,867.5163235,261.9217044,136.6099206
327.4663235,2475.931332,1637.521765,873.6152941,263.3739426,137.3264324
329.7129412,2496.709769,1650.638088,879.7142647,264.8261809,138.0429441
331.9595588,2517.488206,1663.754412,885.8132353,266.2784191,138.7594559
334.2061765,2538.266643,1676.870735,891.9122059,267.7306574,139.4759676
336.4527941,2559.045079,1689.987059,898.0111765,269.1828956,140.1924794
338.6994118,2579.823516,1703.103382,904.1101471,270.6351338,140.9089912
340.9460294,2600.601953,1716.219706,910.2091176,272.0873721,141.6255029
343.1926471,2621.38039,1729.336029,916.3080882,273.5396103,142.3420147
345.4392647,2642.158826,1742.452353,922.4070588,274.9918485,143.0585265
347.6858824,2662.937263,1755.568676,928.5060294,276.4440868,143.7750382
349.9325,2683.7157,1768.685,934.605,277.896325,144.49155
352.1791176,2704.494137,1781.801324,940.7039706,279.3485632,145.2080618
354.4257353,2725.272574,1794.917647,946.8029412,280.8008015,145.9245735
356.6723529,2746.05101,1808.033971,952.9019118,282.2530397,146.6410853
358.9189706,2766.829447,1821.150294,959.0008824,283.7052779,147.3575971
361.1655882,2787.607884,1834.266618,965.0998529,285.1575162,148.0741088
363.4122059,2808.386321,1847.382941,971.1988235,286.6097544,148.7906206
365.6588235,2829.164757,1860.499265,977.2977941,288.0619926,149.5071324
367.9054412,2849.943194,1873.615588,983.3967647,289.5142309,150.2236441
370.1520588,2870.721631,1886.731912,989.4957353,290.9664691,150.9401559
372.3986765,2891.500068,1899.848235,995.5947059,292.4187074,151.6566676
374.6452941,2912.278504,1912.964559,1001.693676,293.8709456,152.3731794
376.8919118,2933.056941,1926.080882,1007.792647,295.3231838,153.0896912
379.1385294,2953.835378,1939.197206,1013.891618,296.7754221,153.8062029
